sex,Age,Married,Number_children,,total_members,gained_asset,durable_asset,save_asset,living_expenses,other_expenses,,,,,incoming_agricultural,farm_expenses,,lasting_investment,no_lasting_investmen,depressed
1,22,1,4,,6,82606287,14894295,23399979,15481524,78315158,,,,,30028818,31363432,,16040665,26692283,0
1,25,1,3,,5,19620555,16191539,23399979,31363432,12411912,,,,,36034582,3002882,,36933173,12345181,0
1,29,1,6,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,49,0,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,44,1,5,,9,18381764,16335678,23399979,10676913,13613065,,,,,30028818,26692283,,36959595,35233814,0
1,51,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,40,1,0,,3,42890683,46684802,23399979,53384566,12549644,,,,,48046112,32871548,,10038586,46862308,0
1,31,1,1,,3,77792801,27130035,23399979,40038424,14573987,,,,,36034582,43374962,,39938141,14880948,0
1,39,1,8,,10,20651573,20707874,96092224,1414691,26905821,,,,,53384566,94935551,,29195193,23106621,0
1,45,1,4,,6,82606287,1470211,23399979,76073008,12011527,,,,,12411911,15448159,,17273848,68832726,0
0,73,0,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,21,0,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,42,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,33,1,2,,4,28912201,18914153,23399979,34699969,20611782,,,,,51249185,10409991,,2227738,22474903,0
1,27,1,4,,6,28912201,21755278,80076851,30696125,40358734,,,,,22021133,12512008,,2316463,14015451,1
1,25,1,0,,2,30635769,10890452,23399979,22688441,22741825,,,,,23355746,8619383,,14434489,8619383,0
1,38,1,3,,5,6474906,12091605,23399979,14814217,12732219,,,,,43775349,13791014,,80524207,861271,0
1,21,1,5,,7,28912201,34433044,23399979,25624592,19138367,,,,,30028818,31363432,,3683535,,0
1,45,1,7,,10,5954797,19698904,23399979,11744605,33632278,,,,,64061481,69800324,,33180927,11761955,0
1,33,0,6,,7,28912201,18898137,80076849,70734549,1040999,,,,,12011528,10009606,,19218445,11621153,0
1,35,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,24,1,3,,5,41303144,15294678,23399979,40038424,18417675,,,,,3203074,69399935,,16028017,24289978,0
1,26,1,2,,3,28912201,18017291,22421518,26158438,71909012,,,,,3203074,58723021,,19218443,12438603,0
1,23,0,2,,3,28912201,97693756,23399979,73403783,99295292,,,,,21887674,18239728,,10890452,51605082,0
1,21,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,34,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,23,1,2,,3,28912201,10970528,23399979,38169963,41800117,,,,,36034582,2891664,,11130682,2891664,0
1,26,0,3,,4,20651573,15855217,23399979,10676913,88084536,,,,,81411467,90531337,,18240681,18395433,0
1,36,1,4,,6,72700995,23462517,80076847,62459941,89686069,,,,,66730709,10899348,,10200912,32119713,0
1,20,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,23,1,3,,5,83646683,22741826,2162075,60591483,55413181,,,,,13679795,64450741,,36151337,31001976,0
1,32,1,3,,5,1886281,22245349,96092224,26692283,26905821,,,,,37369196,24160964,,46857678,13760317,1
1,44,0,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,25,1,3,,5,37172832,29868665,23399979,1414691,2162075,,,,,30028818,31363432,,34306641,6406148,0
1,43,1,4,,6,82606287,38997427,23399979,20019212,36194736,,,,,96759529,78297365,,45989407,32146408,0
0,60,0,0,,1,28912201,26825745,23222287,26692283,3203074,,,,,40038425,18017291,,30269049,25024016,0
1,26,1,2,,4,14251147,28010883,12812296,22648401,28507359,,,,,12465296,54941612,,46778363,19260708,0
1,20,1,1,,3,20651573,20499673,24023056,17616907,25720684,,,,,36034581,12311816,,23285522,37669487,0
1,27,1,3,,5,82606287,17616907,23399979,46711493,35458031,,,,,46711493,22910876,,23728043,38926246,0
1,20,1,1,,3,24612654,41671994,24023054,86483002,28026897,,,,,31763819,10854862,,84141785,37760681,0
1,29,0,0,,1,87776993,18737982,23399979,89419144,21300442,,,,,11210759,53384566,,2986994,37369196,0
1,23,1,1,,3,22375139,23782825,23399979,60724945,22869947,,,,,25090746,60680456,,2722149,15677267,0
1,27,1,6,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,30,1,2,,4,53010906,20019212,19218445,33365355,34673275,,,,,45376883,41150599,,26281226,63105003,0
1,56,1,7,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,25,0,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,33,1,4,,6,82606287,10730298,23399979,46711493,38116581,,,,,78742232,10565696,,12196976,23244529,0
1,26,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,24,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,32,1,4,,6,82606287,52049953,80076847,57388411,17520815,,,,,1040999,26692283,,65115196,15481524,0
1,35,1,6,,9,66401184,15374756,32030739,66730708,25464437,,,,,96092224,14680755,,88982855,46778225,1
1,39,1,7,,12,16521257,33231894,3203074,27359591,95739883,,,,,74738393,29583948,,43212012,74960828,1
1,46,1,2,,5,47951096,94170372,23399979,33365355,83279924,,,,,66730709,55608922,,57656409,34228405,0
1,26,1,5,,7,28912201,20259444,23399979,25891516,15374755,,,,,22955363,13390628,,24743747,30206766,0
1,54,1,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,33,1,3,,5,61272449,22982056,23399979,14680755,52930798,,,,,53384566,75183268,,87777887,30607151,1
1,24,1,3,,5,16521257,32190894,64061478,16015369,10089683,,,,,19485367,38058746,,40089014,18433246,0
1,23,1,4,,6,30635769,55253025,23399979,72069162,18257523,,,,,6406148,88084537,,14114182,22154596,1
1,24,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,28,1,4,,6,41410913,17128438,23399979,26692283,10249837,,,,,10676913,10565696,,60413147,5636298,0
1,29,1,3,,5,41303144,28026898,23399979,51382647,33632278,,,,,30028818,31363432,,3324454,20019212,0
1,26,0,4,,6,28912201,20515689,6406148,50715337,15855216,,,,,26692283,19574341,,21332474,17278805,0
1,25,1,2,,4,45433456,25832791,28827665,17750368,47501587,,,,,30429204,46600279,,31160889,33858047,0
1,40,1,7,,9,86053429,12011527,23399979,40038424,28219082,,,,,18684598,6361661,,23739868,28249333,0
1,42,1,4,,6,11187569,17761046,23399979,30696127,89686069,,,,,18684597,15570499,,31350922,35589709,0
1,76,1,0,,2,41303144,32831509,23399979,26692283,12812296,,,,,10276529,85637733,,40164898,85637733,0
1,26,1,3,,5,65401855,15614986,88084534,5939033,22261364,,,,,26692283,75628144,,22875864,1214054,0
1,20,1,1,,3,97761192,17696983,23399979,96092218,14413833,,,,,53384566,15125626,,27713333,16166626,0
1,26,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,19,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,20,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,25,1,3,,5,40997882,10810374,23399979,56053796,12331835,,,,,22288055,57744303,,52849255,23284567,0
1,22,1,1,,3,28912201,1297245,23399979,66730709,28347204,,,,,28026898,35700929,,1297245,35700929,0
1,29,1,2,,4,82606287,10890452,23399979,40038424,31181925,,,,,36034582,18706841,,13157898,1724544,0
1,81,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,54,1,7,,9,12178716,257367,19218445,3203074,28203066,,,,,12612103,19852387,,15801392,27696581,1
1,39,0,1,,3,24781887,21700827,24023054,2669229,16816139,,,,,61392255,67954102,,25139938,34421921,0
1,27,1,3,,5,16316304,75752698,97693756,10009606,90486839,,,,,53384566,14271474,,98875537,19551208,1
1,24,1,2,,4,19620555,21989104,23399979,24023056,11675204,,,,,10676913,55608921,,42570581,13117477,0
1,37,1,5,,7,35007062,19298521,3203074,54185338,33440094,,,,,60057635,69466667,,59910962,54058544,0
1,46,1,3,,5,10429825,43113376,32030739,1975229,22485579,,,,,10943837,30406957,,61871191,63218445,0
1,22,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,25,1,2,,4,49563774,17216522,23399979,13346142,12732219,,,,,1601537,61392248,,28498972,12812295,0
1,19,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,35,0,3,,5,52667108,23542593,17937214,1601537,80076847,,,,,52049952,70067245,,86779846,20452961,0
1,39,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,49,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,42,1,5,,9,28912201,18737982,23399979,1601537,36034582,,,,,53384566,25802541,,31229971,11375362,0
1,28,1,3,,5,54078564,46844958,23399979,58723021,23542593,,,,,54719181,55386484,,11157374,17636925,0
1,33,1,3,,5,25162625,10922482,3843689,28026898,29147974,,,,,3203074,58723027,,38038983,60097679,0
1,26,1,3,,5,45433456,27626514,23399979,36034582,39285702,,,,,33365355,40816946,,3753501,72847686,0
1,39,1,4,,6,41303146,1040999,23399979,26692283,31069818,,,,,26692283,2224357,,51713135,88040047,0
1,22,1,3,,6,89500557,12331835,23399979,62459946,33472122,,,,,14680755,78764477,,26887271,50797642,0
1,20,1,2,,4,82606287,13885326,23399979,65396094,92889147,,,,,16415755,13679796,,17834386,56387448,0
1,28,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,26,1,7,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,27,1,2,,4,19207828,21156303,80076847,16015369,25336315,,,,,25090746,68065324,,436633,96626068,0
1,33,1,2,,4,28912201,14814217,3203074,19351906,12892373,,,,,10276529,10762552,,18185898,92174015,1
1,21,1,2,,4,53010906,9689299,23399979,21353827,3074951,,,,,45376883,10454478,,15951312,26469848,0
1,35,1,7,,9,12390944,70467628,23399979,66730708,56694408,,,,,22421517,24556899,,95670868,17990599,0
1,47,1,2,,4,82606287,18337599,23399979,36701891,2162075,,,,,13346142,1240079,,19644124,32420001,1
1,53,1,7,,10,15077211,162556,23399979,6005764,15214602,,,,,16015369,24023056,,37738959,6139225,0
1,36,1,3,,5,24781887,23302364,23399979,32964969,19698906,,,,,23489211,17794855,,31706238,47823672,0
1,40,0,2,,3,43026714,13773218,23399979,23008747,58936562,,,,,20019213,83413382,,18556351,13428887,0
1,56,0,2,,5,17968733,1383728,23399979,26291898,1705637,,,,,46711493,66730708,,3319935,32698048,0
1,27,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,22,1,2,,4,41303144,72869934,23399979,24023056,80076847,,,,,48046112,53384566,,79402557,28026898,0
1,32,0,4,,5,53010906,49167187,23399979,12678834,16816139,,,,,19044944,82601494,,10329916,29466837,0
1,86,0,0,,1,82606287,11531066,23399979,36034581,44843035,,,,,30028818,31363432,,25397076,,0
1,57,0,4,,6,82606287,25624592,23399979,42707652,18577829,,,,,30028818,82879543,,13385547,25904861,0
1,27,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,19,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,68,1,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,28,1,3,,5,37172832,1937059,23399979,46711496,411595,,,,,53384566,13791013,,23488257,10054094,0
1,52,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,21,1,2,,4,28912201,39237656,23399979,20019212,43241501,,,,,18684598,28916639,,42440731,57944496,0
1,26,0,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,45,0,1,,2,28912201,32351048,6406148,18417675,15534909,,,,,30028818,53384566,,40679039,80076847,0
1,30,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,26,0,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,51,1,1,,4,47021002,31646371,23399979,13679795,28379236,,,,,26024977,31808307,,82671216,16526972,0
1,25,1,3,,5,22485095,24423439,23399979,12278451,19218445,,,,,80076847,64506354,,24991501,77719032,0
1,23,0,5,,6,33042515,17584877,12812296,74071088,25544516,,,,,30028818,31363432,,25741785,16095448,0
1,29,1,4,,6,13493401,21220366,14413833,37369198,25144131,,,,,37369196,24467928,,39518378,24467926,0
1,91,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,32,0,3,,4,41303146,12812296,80076847,29895358,31374109,,,,,30028818,21353827,,19344916,12873421,0
1,66,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,47,1,1,,7,35524435,14894295,23399979,13746526,17937214,,,,,19578791,38737175,,58586566,98794813,0
1,25,1,4,,6,39654752,91287605,23399979,84080696,17969246,,,,,6406148,53384566,,49824512,91020689,1
1,27,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,21,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,72,0,0,,1,28912201,80076847,23399979,26692283,28203066,,,,,30028818,31363432,,80076847,,0
1,25,1,0,,2,89500557,30429203,23399979,25357668,99455452,,,,,46711493,58945453,,12633591,37925286,0
1,18,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,39,1,6,,8,24781887,12251758,80076849,26692283,24423439,,,,,71762204,8582682,,21136095,2900228,1
1,19,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,20,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,34,1,5,,7,38415656,24263286,23399979,68065324,22581671,,,,,11210759,17461202,,74690466,54830403,0
1,36,1,5,,7,26161044,10490067,23399979,11344221,28203066,,,,,73403783,50826559,,37932339,15092262,0
1,22,1,2,,4,49563774,23062132,19218445,10145737,31069818,,,,,10143067,35478492,,28338818,27994644,0
1,19,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,80,0,2,,4,28912201,60858407,23399979,2535767,26905823,,,,,1227845,16237804,,60858407,10111927,1
0,36,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,28,1,4,,6,37172832,21458994,19218445,29308126,31710432,,,,,30028818,11744605,,29019965,48785488,0
1,25,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,51,0,0,,1,14043069,47245342,23399979,81411463,14573987,,,,,30028818,10009606,,19568373,58055716,0
1,59,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,29,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,32,1,4,,6,64680737,13484941,23399979,12732219,25688654,,,,,14680755,36257017,,80728137,47495142,0
1,53,0,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,30,1,1,,3,81923103,10409991,23399979,21353827,41639962,,,,,2936151,22688441,,2548891,28961127,0
1,24,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,69,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,38,0,2,,4,82606287,36034584,23399979,64061481,12604096,,,,,28026898,55386484,,46697517,37569389,0
1,19,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,58,1,3,,5,6712542,16736061,23399979,26692283,73670702,,,,,1601537,53384566,,2505014,13346142,0
1,47,1,4,,6,41651593,24103131,23399979,10676913,15695063,,,,,12011527,10009606,,78967401,84547806,0
1,21,1,3,,5,28912201,42921192,23399979,66730708,15454832,,,,,13346142,13791014,,42921192,45821756,1
1,22,0,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,36,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,35,1,8,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,25,1,7,,9,28912201,15534909,23399979,49380727,13436895,,,,,80076847,66730708,,1601537,71802239,0
1,42,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,22,1,2,,4,62374603,29308127,1601537,73403783,5475655,,,,,38703811,12567617,,96487341,29954306,0
1,26,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,22,1,1,,3,12322626,19394614,88084536,2936151,88084536,,,,,30028818,78408581,,32197699,14557304,0
1,29,1,2,,4,47469446,28347205,20819981,10676913,20019213,,,,,12185027,18562257,,8174234,27000357,1
1,41,0,0,,1,18192484,14125557,23399979,20019212,4724534,,,,,10409991,34900162,,19656289,10696933,0
1,20,1,3,,5,46367291,75912857,48046112,11891412,31566294,,,,,37369196,31140998,,54342944,13577475,0
1,67,1,4,,6,33042515,1016976,16015369,13346142,72069163,,,,,27759974,76517874,,14675165,1765472,0
1,31,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,68,0,0,,2,37176559,11851374,12812296,33365355,4103138,,,,,26692283,35589712,,54473163,16691574,0
1,25,1,3,,5,33042515,19218443,23399979,24023056,12011527,,,,,80076849,66730708,,23483617,40705729,1
1,22,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,24,1,2,,4,44750278,23462517,23399979,19391944,30829588,,,,,15348064,72847688,,28257852,56665497,1
1,32,1,5,,7,13920652,11771297,23399979,42707653,23542593,,,,,17603559,10603509,,15610273,19665539,0
1,32,1,4,,6,53010906,2684176,23399979,72736468,60858406,,,,,30028818,38703811,,32719403,25090746,0
1,58,1,0,,4,37761951,29163989,23399979,96092218,59256868,,,,,30028818,13346142,,72050854,93556458,0
1,23,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,24,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,48,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,35,1,6,,8,41303144,48846878,23399979,21727518,87283764,,,,,66730708,26914719,,68992561,49523082,0
1,78,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,29,1,2,,4,50773999,25864822,23399979,12545373,93369606,,,,,72069163,70067244,,81443433,7480513,0
1,23,1,4,,6,28912201,16736061,23399979,13346142,33952583,,,,,26692283,43597397,,16976291,16371268,0
1,26,1,4,,6,33042515,10249837,23399979,53384566,16015369,,,,,28827665,68465705,,13714243,10716951,0
1,29,1,2,,4,10602181,68225479,40038424,53384566,70467628,,,,,74738393,1096608,,17905191,40727978,1
1,34,1,2,,4,24781887,48526572,23399979,12011528,10570145,,,,,30696127,21909916,,56129675,12691069,0
0,21,1,0,,2,28912201,16095447,10089683,93422991,40679039,,,,,45376883,23266776,,22982056,1032235,0
1,29,1,1,,3,20651573,11851374,23399979,17349985,14253679,,,,,48046112,40038425,,14396992,40038425,0
1,35,1,6,,8,44750278,27017929,23399979,37369196,54532333,,,,,33365355,68176541,,39052209,17227644,0
1,24,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,35,1,4,,6,21858374,29067896,23399979,1601537,15214602,,,,,14947679,5850059,,51887195,74315765,0
0,35,1,0,,2,44750278,99455444,23399979,93422985,34673275,,,,,19351906,20575301,,15061188,1037718,0
1,32,1,4,,6,82606287,17136446,1601537,28026897,11851374,,,,,15348063,1545928,,18923431,64840002,0
1,40,1,3,,5,52254071,14654063,23399979,26692283,23702747,,,,,85415306,3247561,,70031134,27924576,0
1,20,1,1,,3,28912201,23222287,23399979,2936151,23222286,,,,,66730709,59612763,,30749512,72531837,0
1,54,0,0,,1,72700995,22261365,23399979,26692283,42440729,,,,,12011528,29695165,,99446667,16262274,0
1,31,1,5,,7,41303146,1321268,23399979,54051876,60698254,,,,,71535316,91865939,,21186684,19863508,0
0,63,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,27,1,3,,5,34285342,32831509,32030739,60057635,66944244,,,,,90753765,52939696,,69038696,49109352,0
1,36,0,4,,6,16521257,23862901,23399979,26692283,48062126,,,,,86082611,88751841,,297591,11611143,0
0,52,0,2,,4,28912201,53571411,23399979,33365355,23222286,,,,,61926098,2224357,,54852643,13034732,1
1,19,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,23,1,3,,5,28912201,13452911,23399979,93422991,34433044,,,,,59256868,49380726,,14093526,95157986,1
1,31,0,2,,3,57824402,11851374,48046112,12144989,27786667,,,,,35233815,16282293,,17633813,93449677,0
0,20,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,27,1,2,,4,15386201,99135139,16015369,24556902,29468281,,,,,94757605,54897132,,25684085,25508924,0
1,29,0,9,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,36,1,5,,7,20651573,22197302,12011527,22021134,44522728,,,,,1601537,12011528,,31405316,20152674,1
1,34,1,4,,7,98444366,16688016,80076847,26692283,34433044,,,,,30028818,31363432,,31737448,18318114,0
1,22,1,2,,4,41303146,72069168,48046108,14680755,95131302,,,,,26692283,68955064,,16942612,60713821,1
1,28,1,7,,9,28912201,34272891,96092224,39371116,43401653,,,,,42707653,7529448,,42609338,71590927,1
1,22,1,1,,3,6712542,36194736,23399979,15881909,67264557,,,,,21353827,17794855,,48512659,33810225,0
1,30,1,6,,8,28912201,51489417,80076847,28694205,49167187,,,,,66730709,55608922,,56694409,11766848,0
1,23,1,0,,2,2251208,13933372,23399979,17349985,14253679,,,,,30028818,31363432,,36445453,12812296,0
1,17,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,25,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,23,1,1,,3,28912201,15214601,23399979,29361513,52690567,,,,,30028818,31363432,,15214601,80076849,0
1,24,1,3,,5,28912201,83279922,16015369,37903044,24343363,,,,,16682676,66841927,,92889145,55397606,0
1,23,1,4,,6,45541229,12011527,23399979,13346142,16143494,,,,,20286135,46711493,,58753912,88084536,0
1,33,0,4,,5,10285602,14814217,60858406,29601741,1643177,,,,,15681717,53106523,,11807062,14624591,0
1,30,0,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,25,0,3,,4,28912201,14013449,23399979,26692283,24263285,,,,,30028818,31363432,,14093526,1449391,0
1,32,1,4,,6,41303144,76873779,23399979,40038425,15374755,,,,,67758365,14988829,,81004097,71042624,0
1,43,1,6,,9,28912201,32671356,23399979,66730708,22693779,,,,,18017291,41706693,,65342712,19487035,0
1,42,1,2,,4,53080133,28587436,28827665,74738393,51889797,,,,,60858407,50715339,,87513184,38944038,0
1,37,1,6,,9,37172832,23510564,35233814,40038425,60698254,,,,,17083061,51605082,,28028616,62709068,0
1,41,0,3,,4,42650009,34593201,23399979,13879987,11595128,,,,,19585463,13068097,,78844751,11730145,0
1,31,0,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,55,0,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,61,1,0,,2,20619279,66463783,23399979,13346141,30429204,,,,,11878066,98983884,,27265659,17005209,0
1,47,1,2,,5,27545317,31950662,59256868,20419598,18737984,,,,,43775349,36479455,,31589197,68750427,1
1,21,1,2,,3,2833024,29436249,23399979,65396094,10570145,,,,,40038424,44042268,,65902295,22021133,0
1,34,0,1,,3,41303144,38885318,23399979,31363434,14894294,,,,,93422985,77852494,,53391876,77852494,0
0,20,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,42,0,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,31,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,26,1,2,,4,53694088,13532988,3203074,46711493,17696983,,,,,30429204,2535767,,19462935,74604931,0
0,23,1,1,,2,23269824,19859059,23399979,26692283,72069163,,,,,93422991,20797739,,47933496,20797739,0
1,25,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,47,1,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,41,0,3,,4,37172832,99295296,23399979,53384566,25464439,,,,,20553058,10848188,,17490501,24194331,0
1,58,1,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,23,1,1,,3,82606287,12732219,23399979,27493052,37796272,,,,,17083061,3759163,,1435905,77630055,0
1,20,1,4,,6,20651573,21540672,19218445,37369196,61659176,,,,,56053796,32698047,,2841044,25290939,0
1,19,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,22,1,0,,2,28912201,16015369,23399979,53384566,65663018,,,,,53384566,44487137,,16015369,11121784,1
1,35,1,2,,4,388964,21620749,23399979,29228051,26249191,,,,,90753765,17839342,,27592386,77229671,0
1,36,1,3,,6,83646683,20243428,6406148,40038424,14573987,,,,,20019212,48468738,,3499823,14723019,0
1,36,1,7,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,32,1,2,,4,24781887,21540672,23399979,42707653,44042267,,,,,21353827,20464084,,26981705,20464084,0
1,43,1,3,,5,20651573,19298521,23399979,60057635,68866091,,,,,50715337,42262781,,28970978,25046258,1
1,44,1,5,,7,28912201,26905823,80076847,70734549,76553467,,,,,10676913,66730708,,39886725,169496,0
1,49,1,4,,7,59792676,19378598,23399979,26692283,2234144,,,,,53384566,7117942,,8285481,24094234,0
1,34,1,3,,5,28912201,78475311,23399979,13479604,62459941,,,,,20019212,12078258,,78475311,60124369,0
1,34,0,3,,5,86053429,736707,23399979,14680755,89686069,,,,,74738393,62281996,,17253642,15510442,0
